address,lat,long,zip
0 BLACK CORAL WAY,32.5871616,-117.0233459,92154
0 BLACK MOUNTAIN ROAD,32.9414332,-117.1293518,0
0 BLACK MTN ROAD,32.9414332,-117.1293518,0
0 BLUERIDGE STREET,32.6697438,-117.0669755,0
0 BLUFFSIDE AVENUE,32.8092228,-117.2211872,92109
0 BOLLENBACHER STREET,32.7151054,-117.0737321,92114
0 BONAIR STREET,32.8306424,-117.2763275,92037
0 BOND STREET,32.80413,-117.2206075,92109
0 BOOTES STREET,32.92712,-117.131706,92126
0 BORDELON STREET,32.8125283,-117.1080102,92124
0 BORDER VILLAGE ROAD,32.5483875,-117.0373195,92173
0 BOREN STREET,32.746656,-117.0625572,92115
0 BOULDER LAKE AVENUE,32.8006722,-117.0179446,92119
0 BOUNDARY STREET,32.7379562,-117.1195609,0
0 BOYD AVENUE,32.8083026,-117.1767297,92111
0 BRANDY CANYON ROAD,33.0766382,-116.9831649,0
0 BRANICOLE LANE,32.9409432,-117.1164399,92129
0 BRANT STREET,32.7391906,-117.1667478,0
0 BRIARWOOD ROAD,32.6832365,-117.0322616,0
0 BRIGHTON AVENUE,32.7480819,-117.2447029,92107
0 BRITANNIA BOULEVARD,32.5571736,-116.9798931,92154
0 BRITANNIA PARK PLACE,32.5552423,-116.9783455,92154
0 BROADWAY ,32.7443037,-117.1613704,92103
0 BROADWAY AVENUE,32.7151713,-117.0478668,0
0 BROADWAY CIRCLE,32.7151663,-117.1619874,92101
0 BRONTE PLACE,32.7052872,-117.0358521,92114
0 BROOKE COURT,32.8703704,-117.2150997,92122
0 BROOKHAVEN ROAD,32.6982355,-117.0310044,92114
0 BROOKLYN AVENUE,32.7131456,-117.0599535,92114
0 BROOKMEADOW PLACE,32.6995461,-117.0284501,92114
0 BRUNNER STREET,32.7695496,-117.1898249,92110
0 BUCKHORN STREET,32.8259904,-117.1463785,92111
0 BULLOCK DRIVE,32.6958894,-117.0475018,92114
0 BUNKER HILL STREET,32.8042909,-117.212197,0
0 BURGENER BOULEVARD,32.7872741,-117.1911348,0
0 BYRON STREET,32.723774,-117.232933,92106
0 Bachman PLACE,32.7569014,-117.1645775,0
0 Barnett AVENUE,32.74432,-117.2020135,0
0 Bernardo CENTER ,33.0108171,-117.0858117,0
0 Beyer BOULEVARD,32.5715283,-117.0648512,0
0 Briarwood ROAD,32.6832365,-117.0322616,0
0 Brighton COURT,32.7630326,-117.2510903,92109
0 Broad LANE,32.8965651,-117.1651642,0
0 Burgerner BOULEVARD,32.7872741,-117.1911348,0
0 C STREET,32.7374032,-117.1494631,92101
0 CA-163 NORTH ,32.7960971,-117.157348,0
0 CABLE STREET,32.745797,-117.2493238,92107
0 CADIZ STREET,32.7440826,-117.2103499,92110
0 CALICO STREET,32.9081358,-117.1506226,92126
0 CALIENTE AVENUE,32.565374,-117.0148439,92154
0 CALIFORNIA STREET,32.733024,-117.1745734,0
0 CALLE CRISTOBAL ,32.9272695,-117.1629658,0
0 CALLE DE CINCO ,32.819798,-117.2463879,92037
0 CALLE DE LAS ROSAS ,32.9518457,-117.1154837,92129
0 CALLE FRESCOTA ,32.8571057,-117.2534196,92037
0 CALLE MAR DE MARIPOSA ,32.9137191,-117.2255801,92130
0 CALLE NUBLADO ,32.979391,-117.1297694,92129
0 CALLE PUEBLITO ,32.998428,-117.064499,92128
0 CALLE SAUCILLO ,32.9972446,-117.0688162,92128
0 CALLE TRES LOMAS ,32.6763506,-117.0558332,92139
0 CALLE VIVIENDA ,33.0036163,-117.0788037,92128
0 CAM ABROJO ,33.0126128,-117.0991755,92127
0 CAM COPETE ,33.0126128,-117.0991755,92127
0 CAM DE LA COSTA ,32.5452915,-117.044865,0
0 CAM DE LA PLAZA,32.5452915,-117.044865,0
0 CAM DE LA PLAZA ,32.5452915,-117.044865,0
0 CAM DE LA PLAZAZ ,32.5452915,-117.044865,0
0 CAM DE LA REINA ,32.7681323,-117.1537646,92108
0 CAM DEL ESTE ,32.7718481,-117.1444933,92108
0 CAM DEL NORTE ,32.819571,-117.2749105,92037
0 CAM DEL RIO N ,32.7739604,-117.130843,0
0 CAM DEL RIO NORTH ,32.7739604,-117.130843,0
0 CAM DEL RIO SOUTH ,32.7709358,-117.1309539,0
0 CAM DEL RIO WEST ,32.7548217,-117.2048644,92110
0 CAM DEL SUR ,32.9861502,-117.1607456,92127
0 CAM LARGO ,32.798651,-117.0604774,92120
0 CAM PLAYA NORTE ,32.834493,-117.0876968,92124
0 CAM RUIZ ,32.9127819,-117.1437914,0
0 CAM SANTA FE ,32.7168533,-117.1695457,92101
0 CAM SANTE FE ,32.8984303095451,-117.170519406651,0
0 CAMBER DRIVE,32.8251011,-117.1746224,92117
0 CAMINITO ALTO ,32.9200316,-117.0638818,92131
0 CAMINITO ALVAREZ ,32.907052,-117.1678773,92126
0 CAMINITO AVELLANO ,32.5732496,-117.0780867,92154
0 CAMINITO BLYTHEFIELD ,32.8345895,-117.2439081,92037
0 CAMINITO DE LA GALLARDA ,33.0213967,-117.0600882,92128
0 CAMINITO DEL CID ,32.8515079,-117.2511842,92037
0 CAMINITO SANTALUZ SUR ,32.9849789,-117.1568324,92127
0 CAMINO DE LA COSTA ,32.819571,-117.2749105,92037
0 CAMINO DE LA PLAZA ,32.5452915,-117.044865,0
0 CAMINO DE LA PLAZA PLAZA,32.5452915,-117.044865,0
0 CAMINO DE LA REINA ,32.7681323,-117.1537646,92108
0 CAMINO DEL MAR ,32.9642146,-117.265203,92014
0 CAMINO DEL NORTE ,32.819571,-117.2749105,92037
0 CAMINO DEL ORO ,32.8567874,-117.256428,92037
0 CAMINO DEL RIO ,32.7739604,-117.130843,0
0 CAMINO DEL RIO N ,32.7739604,-117.130843,0
0 CAMINO DEL RIO NORTH ,32.7739604,-117.130843,0
0 CAMINO DEL RIO SOUTH ,32.7709358,-117.1309539,0
0 CAMINO DEL RIO W ,32.7548217,-117.2048644,92110
0 CAMINO DEL RIO WEST ,32.7548217,-117.2048644,92110
0 CAMINO DEL SUR ,32.9861502,-117.1607456,92127
0 CAMINO MIRA DEL MAR ,32.9436524,-117.2325633,92130
0 CAMINO RUIZ ,32.9127819,-117.1437914,0
0 CAMINO RUIZ BOULEVARD,32.9127819,-117.1437914,0
0 CAMINO SANTA FE ,32.8983633,-117.1707064,0
0 CAMINO TICINO ,32.8618327,-117.2152267,92122
0 CAMPANILE DRIVE,32.7683803,-117.0715525,0
0 CAMPLAND ON THE BAY GREAT BLUE HERON RUN ,32.7960391,-117.2245988,92109
0 CAMPUS POINT DRIVE,32.8859882,-117.2213249,0
0 CAMPUS POINT HILL ,32.8892186,-117.2221121,92121
0 CAMTO CANTILENA ,33.0516294712966,-117.07091564241,0
0 CAMTO CUERVO ,32.7863837508352,-117.111425588449,0
0 CAMTO DEL BARCO ,32.9379525293342,-117.256426609879,0
0 CAMTO MARRISA ,32.8205505,-117.2353598,92037
0 CAMTO RADIANTE ,32.9475411,-117.2043801,92130
0 CAMULOS STREET,32.7509568,-117.2293957,0
0 CANON STREET,32.7246492,-117.2364626,92106
0 CANYON CREST DRIVE,32.7789203,-117.0719798,0
0 CANYONSIDE PARK DRIVEWAY,32.9403958,-117.1340663,92129
0 CAPE COD BAY COURT,32.7290652,-117.0693426,92105
0 CAPE MAY AVENUE,32.7472572,-117.2454089,92107
0 CAPISTRANO PLACE,32.7635512,-117.2511995,92109
0 CAPRICORN WAY,32.9250082,-117.1310122,92126
0 CARA WAY,32.9408312,-117.1088015,92131
0 CARDENO DR DRIVE,32.822121,-117.249023,0
0 CARDENO DRIVE,32.822121,-117.249023,0
0 CARDIFF STREET,32.7131255,-117.0246196,92114
0 CARDINAL ROAD,32.7905707,-117.1574933,92123
0 CARIUTO COURT,32.8244143,-117.0978001,92124
0 CARLETON STREET,32.7251491,-117.2336852,92106
0 CARMEL CANYON ROAD,32.9499813,-117.21322,92130
0 CARMEL COUNTRY ROAD,32.9308377,-117.1987272,92130
0 CARMEL COUNTY ,0,0,0
0 CARMEL CREEK ROAD,32.936584,-117.2285988,92130
0 CARMEL MOUNTAIN ROAD,32.9509174,-117.152022,0
0 CARMEL MTN ROAD,32.9509174,-117.152022,0
0 CARMEL RIDGE ROAD,32.9778193,-117.0725275,92128
0 CARMEL VALLEY ,32.9398273,-117.2029363,0
0 CARMEL VALLEY ROAD,32.9723699,-117.1510588,0
0 CARMEL VISTA ROAD,32.9391875,-117.238124,92130
0 CARMELINA DRIVE,32.7631999,-117.1453402,92116
0 CARROLL CANYON ,32.8964505,-117.1489121,0
0 CARROLL CANYON ROAD,32.8964505,-117.1489121,0
0 CARROLL ROAD,32.8851649,-117.1706671,0
0 CARROLL WAY,32.887264,-117.158882,92121
0 CASEY DRIVE,32.6792701317202,-117.036335573111,0
0 CASS STREET,32.8020211,-117.2532593,92109
0 CASTANA STREET,32.7059215,-117.0850749,0
0 CASTELAR STREET,32.7499365,-117.2367971,92107
0 CASTLETON DRIVE,32.8253974,-117.1734902,92117
0 CATALINA BOULEVARD,32.708652,-117.2492178,92106
0 CATANIA STREET,32.703149,-117.1060969,92113
0 CATOCTIN DRIVE,32.7689694,-117.0589038,92115
0 CEASAR CHAVEZ PARKWAY,32.7006603,-117.1450526,0
0 CEDAR STREET,32.7219618,-117.1596567,92101
0 CENTER DRIVE,32.7791524,-117.0136586,91942
0 CENTER STREET,32.7374032,-117.1494631,92101
0 CENTRAL AVENUE,0,0,0
0 CENTRE STREET,32.7374032,-117.1494631,92101
0 CENTURION SQUARE,32.8613846,-117.2079559,92122
0 CESAR CHAVEZ PARKWAY,32.7006603,-117.1450526,0
0 CESAR E CHAVES PARKWAY,32.7006603,-117.1450526,0
0 CESAR E CHAVEZ PARKWAY,32.7006603,-117.1450526,0
0 CHALCEDONY STREET,32.80454,-117.2418415,92109
0 CHAMOUNE AVENUE,32.7462693,-117.0966227,0
0 CHARLES AVENUE,32.5920291,-117.0862183,92154
0 CHARMANT DRIVE,32.8618021,-117.2290029,92122
0 CHASE PARKING LOT 8222 MIRA MESA ,32.9184763,-117.1382404,0
0 CHATEAU DRIVE,32.825283,-117.183029,92117
0 CHATSWORTH BOULEVARD,32.7385096,-117.2294415,0
0 CHAUNCEY STREET,32.7392452,-117.210796,92106
0 CHERI STREET,32.5859043,-117.0942637,92154
0 CHEROKEE AVENUE,32.7532845,-117.114319,0
0 CHESTER STREET,32.7114981,-117.0484859,92114
0 CHEVRON GAS STATION CENTRAL ,0,0,0
0 CHICAGO STREET,32.7917646,-117.2042207,0
0 CHOLLAS PARKWAY,32.7381982,-117.0859372,0
0 CHOLLAS ROAD,32.7368293,-117.0859636,92105
0 CHURCHWARD STREET,32.704021,-117.0789284,92114
0 CHURRITUCK DRIVE,32.5816277,-117.0581109,92154
0 CIVIC CENTER DRIVE,32.6715096,-117.1052842,91950
0 CLAIREMONRT MESA BOULEVARD,32.8327231,-117.146042,0
0 CLAIREMONT DRIVE,32.8118067,-117.2010551,0
0 CLAIREMONT MESA BOULEVAD ,32.8327231,-117.146042,0
0 CLAIREMONT MESA BOULEVARD,32.8327231,-117.146042,0
0 CLAIRMONT MESA BOULEVARD ON RAMP,32.8327231,-117.146042,0
0 CLAYTON DRIVE,32.8949062,-117.1310191,0
0 CLEVELAND AVENUE,32.75534,-117.1500089,0
0 CLOVIS STREET,32.7505846,-117.2323749,92107
0 COCHRAN AVENUE,32.5857203,-117.0589217,92154
0 COLEMAN AVENUE,32.5829036,-117.0488184,92154
0 COLIMA STREET,32.8118277,-117.2635762,92037
0 COLINA DORADA DRIVE,32.8165876,-117.0780094,92124
0 COLLEGE AVEE ,32.7659255,-117.0669245,0
0 COLLEGE AVENUE,32.7659255,-117.0669245,0
0 COLLEGE GROVE DRIVE,32.7352155,-117.0666644,0
0 COLLEGE MESA DRIVE,32.9585262,-117.1641646,92129
0 COLLWOOD BOULEVARD,32.76437,-117.0834268,92115
0 COLLWOOD WAY,32.7685144,-117.0859451,92115
0 COLOMBIA ,32.7181664,-117.1632389,0
0 COLTS WAY,32.7520665,-117.0769507,0
0 COLUMBIA STREET,32.7285844,-117.1696004,0
0 COMMERCIAL STREET,32.7051866,-117.152309,92113
0 COMSTOCK STREET,32.7900491,-117.1751345,92111
0 CONGRESS STREET,32.7515054,-117.1948479,92110
0 CONRAD AVENUE,32.8353637,-117.1932521,92117
0 CONTINENTAL STREET,32.5660738,-116.9841562,92154
